Date,Site,Exposure,Transect #,Tidal Height,Dermasterias imbricata 1,Dermasterias imbricata 2,Evasterias troschelli 1,Evasterias troschelli 2,Henricia leviuscula 1,Henricia leviuscula 2,Mediaster aequalis 1,Mediaster aequalis 2,Ophiopholis spp 1,Ophiopholis spp 2,Pisaster brevispinus 1,Pisaster brevispinus 2,Pisaster ochraceous 1,Pisaster ochraceous 2,Pycnopodia helianthoides 1,Pycnopodia helianthoides 2
31-Jul-07,Wizard,Sheltered,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Jul-07,Wizard,Sheltered,21,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Jul-07,Wizard,Sheltered,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Jul-07,Wizard,Sheltered,21,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Jul-07,Wizard,Sheltered,28,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
31-Jul-07,Wizard,Sheltered,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Jul-07,Wizard,Sheltered,28,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Jul-07,Wizard,Sheltered,28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Jul-07,Wizard,Sheltered,28,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Jul-07,Wizard,Sheltered,28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Jul-07,Wizard,Sheltered,28,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Jul-07,Wizard,Sheltered,32,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Jul-07,Wizard,Sheltered,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Jul-07,Wizard,Sheltered,32,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Jul-07,Wizard,Sheltered,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Jul-07,Wizard,Sheltered,32,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Jul-07,Wizard,Sheltered,32,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Jul-07,Wizard,Sheltered,32,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Jul-07,Wizard,Sheltered,33,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
31-Jul-07,Wizard,Sheltered,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Jul-07,Wizard,Sheltered,33,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Jul-07,Wizard,Sheltered,33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Jul-07,Wizard,Sheltered,33,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Jul-07,Wizard,Sheltered,33,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Jul-07,Wizard,Sheltered,33,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Jul-07,Wizard,Sheltered,35,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Jul-07,Wizard,Sheltered,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Jul-07,Wizard,Sheltered,35,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Jul-07,Wizard,Sheltered,35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Jul-07,Wizard,Sheltered,35,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Jul-07,Wizard,Sheltered,35,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Jul-07,Wizard,Sheltered,35,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Jul-07,Wizard,Sheltered,36,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Jul-07,Wizard,Sheltered,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Jul-07,Wizard,Sheltered,36,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Jul-07,Wizard,Sheltered,36,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Jul-07,Wizard,Sheltered,36,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Jul-07,Wizard,Sheltered,36,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Jul-07,Wizard,Sheltered,36,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Jul-07,Wizard,Sheltered,38,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Jul-07,Wizard,Sheltered,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Jul-07,Wizard,Sheltered,38,1.5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
31-Jul-07,Wizard,Sheltered,38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Jul-07,Wizard,Sheltered,38,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Jul-07,Wizard,Sheltered,38,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Jul-07,Wizard,Sheltered,38,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Jul-07,Wizard,Sheltered,42,0.5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
31-Jul-07,Wizard,Sheltered,42,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
31-Jul-07,Wizard,Sheltered,42,1.5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
31-Jul-07,Wizard,Sheltered,42,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Jul-07,Wizard,Sheltered,42,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Jul-07,Wizard,Sheltered,42,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Jul-07,Wizard,Sheltered,42,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Jul-07,Wizard,Sheltered,44,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Jul-07,Wizard,Sheltered,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Jul-07,Wizard,Sheltered,44,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Jul-07,Wizard,Sheltered,44,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Jul-07,Wizard,Sheltered,44,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Jul-07,Wizard,Sheltered,44,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Jul-07,Wizard,Sheltered,44,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Jul-07,Wizard,Sheltered,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Jul-07,Wizard,Sheltered,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Jul-07,Wizard,Sheltered,45,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Jul-07,Wizard,Sheltered,45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Jul-07,Wizard,Sheltered,45,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Jul-07,Wizard,Sheltered,45,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Jul-07,Wizard,Sheltered,45,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Jul-07,Wizard,Sheltered,46,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Jul-07,Wizard,Sheltered,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Jul-07,Wizard,Sheltered,46,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Jul-07,Wizard,Sheltered,46,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Jul-07,Wizard,Sheltered,46,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Jul-07,Wizard,Sheltered,46,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Jul-07,Wizard,Sheltered,46,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Jul-07,Wizard,Sheltered,48,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Jul-07,Wizard,Sheltered,48,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
31-Jul-07,Wizard,Sheltered,48,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Jul-07,Wizard,Sheltered,48,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Jul-07,Wizard,Sheltered,48,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Jul-07,Wizard,Sheltered,48,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Jul-07,Wizard,Sheltered,48,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03-Aug-09,Wizard,Exposed,15,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03-Aug-09,Wizard,Exposed,15,1.5,0,0,0,0,0,0,0,0,0,0,0,0,23,25,0,0
03-Aug-09,Wizard,Exposed,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
03-Aug-09,Wizard,Exposed,15,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03-Aug-09,Wizard,Exposed,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03-Aug-09,Wizard,Exposed,15,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03-Aug-09,Wizard,Exposed,17,1,0,0,0,0,0,0,0,0,0,0,0,0,19,21,0,0
03-Aug-09,Wizard,Exposed,17,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0
03-Aug-09,Wizard,Exposed,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03-Aug-09,Wizard,Exposed,17,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03-Aug-09,Wizard,Exposed,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03-Aug-09,Wizard,Exposed,17,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03-Aug-09,Wizard,Exposed,23,1,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0
03-Aug-09,Wizard,Exposed,23,1.5,0,0,0,0,0,0,0,0,0,0,0,0,26,38,0,0
03-Aug-09,Wizard,Exposed,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
03-Aug-09,Wizard,Exposed,23,2.5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
03-Aug-09,Wizard,Exposed,23,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03-Aug-09,Wizard,Exposed,23,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03-Aug-09,Wizard,Exposed,25,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
03-Aug-09,Wizard,Exposed,25,1.5,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0
03-Aug-09,Wizard,Exposed,25,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
03-Aug-09,Wizard,Exposed,25,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03-Aug-09,Wizard,Exposed,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03-Aug-09,Wizard,Exposed,25,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03-Aug-09,Wizard,Exposed,37,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
03-Aug-09,Wizard,Exposed,37,1.5,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0
03-Aug-09,Wizard,Exposed,37,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03-Aug-09,Wizard,Exposed,37,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0
03-Aug-09,Wizard,Exposed,37,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03-Aug-09,Wizard,Exposed,37,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03-Aug-09,Wizard,Exposed,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03-Aug-09,Wizard,Exposed,40,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
03-Aug-09,Wizard,Exposed,40,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03-Aug-09,Wizard,Exposed,40,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03-Aug-09,Wizard,Exposed,40,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03-Aug-09,Wizard,Exposed,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
03-Aug-09,Wizard,Exposed,44,1.5,0,0,0,0,0,0,0,0,0,0,0,0,6,33,0,0
03-Aug-09,Wizard,Exposed,44,2,0,0,0,0,0,0,0,0,0,0,0,0,10,35,0,0
03-Aug-09,Wizard,Exposed,44,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03-Aug-09,Wizard,Exposed,44,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03-Aug-09,Wizard,Exposed,44,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03-Aug-09,Wizard,Exposed,46,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0
03-Aug-09,Wizard,Exposed,46,1.5,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0
03-Aug-09,Wizard,Exposed,46,2,0,0,0,0,0,0,0,0,0,0,0,0,23,38,0,0
03-Aug-09,Wizard,Exposed,46,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03-Aug-09,Wizard,Exposed,46,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03-Aug-09,Wizard,Exposed,46,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04-Aug-09,Wizard,Exposed,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04-Aug-09,Wizard,Exposed,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0
04-Aug-09,Wizard,Exposed,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
04-Aug-09,Wizard,Exposed,1,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04-Aug-09,Wizard,Exposed,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04-Aug-09,Wizard,Exposed,1,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04-Aug-09,Wizard,Exposed,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04-Aug-09,Wizard,Exposed,11,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04-Aug-09,Wizard,Exposed,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04-Aug-09,Wizard,Exposed,11,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04-Aug-09,Wizard,Exposed,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04-Aug-09,Wizard,Exposed,11,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04-Aug-09,Wizard,Exposed,20,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0
04-Aug-09,Wizard,Exposed,20,1.5,0,0,0,2,0,0,0,0,0,0,0,0,20,8,0,0
04-Aug-09,Wizard,Exposed,20,2,0,0,0,0,0,0,0,0,0,0,0,0,6,14,0,0
04-Aug-09,Wizard,Exposed,20,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04-Aug-09,Wizard,Exposed,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04-Aug-09,Wizard,Exposed,20,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04-Aug-09,Wizard,Exposed,3,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
04-Aug-09,Wizard,Exposed,3,1.5,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0
04-Aug-09,Wizard,Exposed,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
04-Aug-09,Wizard,Exposed,3,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04-Aug-09,Wizard,Exposed,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04-Aug-09,Wizard,Exposed,3,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04-Aug-09,Wizard,Exposed,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04-Aug-09,Wizard,Exposed,32,1.5,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0
04-Aug-09,Wizard,Exposed,32,2,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0
04-Aug-09,Wizard,Exposed,32,2.5,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
04-Aug-09,Wizard,Exposed,32,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04-Aug-09,Wizard,Exposed,32,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04-Aug-09,Wizard,Exposed,48,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
04-Aug-09,Wizard,Exposed,48,1.5,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0
04-Aug-09,Wizard,Exposed,48,2,0,0,0,0,0,0,0,0,0,0,0,0,42,11,0,0
04-Aug-09,Wizard,Exposed,48,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04-Aug-09,Wizard,Exposed,48,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04-Aug-09,Wizard,Exposed,48,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04-Aug-09,Wizard,Exposed,5,1,0,0,6,0,0,0,0,0,0,0,0,0,18,1,0,0
04-Aug-09,Wizard,Exposed,5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0
04-Aug-09,Wizard,Exposed,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04-Aug-09,Wizard,Exposed,5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04-Aug-09,Wizard,Exposed,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04-Aug-09,Wizard,Exposed,5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04-Aug-09,Wizard,Sheltered,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
04-Aug-09,Wizard,Sheltered,10,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04-Aug-09,Wizard,Sheltered,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04-Aug-09,Wizard,Sheltered,10,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04-Aug-09,Wizard,Sheltered,12,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
04-Aug-09,Wizard,Sheltered,12,2.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
04-Aug-09,Wizard,Sheltered,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04-Aug-09,Wizard,Sheltered,12,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04-Aug-09,Wizard,Sheltered,18,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0
04-Aug-09,Wizard,Sheltered,18,2.5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
04-Aug-09,Wizard,Sheltered,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04-Aug-09,Wizard,Sheltered,18,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04-Aug-09,Wizard,Sheltered,21,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04-Aug-09,Wizard,Sheltered,21,2,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0,0
04-Aug-09,Wizard,Sheltered,21,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04-Aug-09,Wizard,Sheltered,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04-Aug-09,Wizard,Sheltered,21,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04-Aug-09,Wizard,Sheltered,42,1.5,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
04-Aug-09,Wizard,Sheltered,42,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04-Aug-09,Wizard,Sheltered,42,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04-Aug-09,Wizard,Sheltered,42,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04-Aug-09,Wizard,Sheltered,42,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04-Aug-09,Wizard,Sheltered,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04-Aug-09,Wizard,Sheltered,7,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04-Aug-09,Wizard,Sheltered,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04-Aug-09,Wizard,Sheltered,7,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04-Aug-09,Wizard,Sheltered,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04-Aug-09,Wizard,Sheltered,7,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05-Aug-09,Wizard,Sheltered,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05-Aug-09,Wizard,Sheltered,11,1.5,0,0,15,2,0,0,0,0,0,0,0,0,29,0,0,0
05-Aug-09,Wizard,Sheltered,11,2,0,0,3,0,0,0,0,0,0,0,0,0,16,0,0,0
05-Aug-09,Wizard,Sheltered,11,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05-Aug-09,Wizard,Sheltered,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05-Aug-09,Wizard,Sheltered,11,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05-Aug-09,Wizard,Sheltered,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05-Aug-09,Wizard,Sheltered,15,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05-Aug-09,Wizard,Sheltered,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05-Aug-09,Wizard,Sheltered,15,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05-Aug-09,Wizard,Sheltered,26,1,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0
05-Aug-09,Wizard,Sheltered,26,1.5,0,0,2,3,0,0,0,0,0,0,0,0,2,0,0,0
05-Aug-09,Wizard,Sheltered,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05-Aug-09,Wizard,Sheltered,26,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05-Aug-09,Wizard,Sheltered,26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05-Aug-09,Wizard,Sheltered,26,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05-Aug-09,Wizard,Sheltered,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05-Aug-09,Wizard,Sheltered,34,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
05-Aug-09,Wizard,Sheltered,34,2,0,0,15,6,0,0,0,0,0,0,0,0,28,25,0,0
05-Aug-09,Wizard,Sheltered,34,2.5,0,0,12,12,0,0,0,0,0,0,0,0,2,5,0,0
05-Aug-09,Wizard,Sheltered,34,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05-Aug-09,Wizard,Sheltered,34,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05-Aug-09,Wizard,Sheltered,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05-Aug-09,Wizard,Sheltered,36,1.5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
05-Aug-09,Wizard,Sheltered,36,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
05-Aug-09,Wizard,Sheltered,36,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05-Aug-09,Wizard,Sheltered,36,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05-Aug-09,Wizard,Sheltered,36,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05-Aug-09,Wizard,Sheltered,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05-Aug-09,Wizard,Sheltered,38,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05-Aug-09,Wizard,Sheltered,38,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
05-Aug-09,Wizard,Sheltered,38,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05-Aug-09,Wizard,Sheltered,38,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05-Aug-09,Wizard,Sheltered,38,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05-Aug-09,Wizard,Sheltered,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05-Aug-09,Wizard,Sheltered,40,1.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
05-Aug-09,Wizard,Sheltered,40,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05-Aug-09,Wizard,Sheltered,40,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05-Aug-09,Wizard,Sheltered,40,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05-Aug-09,Wizard,Sheltered,40,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05-Aug-09,Wizard,Sheltered,44,1.5,0,0,0,0,0,0,0,0,0,0,0,0,21,8,0,0
05-Aug-09,Wizard,Sheltered,44,2,0,0,7,0,0,0,0,0,0,0,0,0,2,19,0,0
05-Aug-09,Wizard,Sheltered,44,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05-Aug-09,Wizard,Sheltered,44,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05-Aug-09,Wizard,Sheltered,44,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05-Aug-09,Wizard,Sheltered,48,1.5,0,0,1,14,0,0,0,0,0,0,0,0,0,26,0,0
05-Aug-09,Wizard,Sheltered,48,2,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0
05-Aug-09,Wizard,Sheltered,48,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05-Aug-09,Wizard,Sheltered,48,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
